video,frame,face_box,blur_score,occlusion_score,quality_score
001_interview,000000.jpg,"[37,37,159,159]",0.7023,0.0649,0.6567
001_interview,000001.jpg,"[35,35,162,162]",0.7489,0.0655,0.6998
001_interview,000002.jpg,"[33,32,163,163]",0.8424,0.0746,0.7796
001_interview,000003.jpg,"[33,33,161,161]",0.8614,0.0649,0.8055
001_interview,000004.jpg,"[34,32,162,162]",0.8834,0.0707,0.8209
001_interview,000005.jpg,"[35,36,160,160]",0.945,0.0642,0.8843
001_interview,000006.jpg,"[34,33,162,162]",0.9403,0.0654,0.8788
001_interview,000007.jpg,"[24,32,98,98]",0.9768,0.0609,0.9173
001_interview,000008.jpg,"[25,33,100,100]",0.915,0.0645,0.856
001_interview,000009.jpg,"[27,39,100,100]",0.9728,0.1063,0.8694
001_interview,000010.jpg,"[31,38,99,98]",0.992,0.094,0.8988
001_interview,000011.jpg,"[28,33,107,107]",0.9884,0.1053,0.8843
001_interview,000012.jpg,"[27,35,97,97]",0.9745,0.0753,0.9011
001_interview,000013.jpg,"[28,36,98,98]",0.9998,0.0623,0.9375
001_interview,000014.jpg,"[26,36,99,99]",0.9631,0.0629,0.9025
001_interview,000015.jpg,"[30,37,98,98]",0.9902,0.0785,0.9125
001_interview,000016.jpg,"[28,39,92,92]",0.8676,0.0965,0.7839
001_interview,000017.jpg,"[27,32,100,100]",0.9781,0.0878,0.8922
001_interview,000018.jpg,"[28,40,98,98]",0.9982,0.0982,0.9002
001_interview,000019.jpg,"[25,34,102,102]",0.9905,0.0743,0.9169
001_interview,000020.jpg,"[24,35,96,96]",0.9334,0.0798,0.8589
001_interview,000021.jpg,"[25,35,100,100]",0.9755,0.0596,0.9174
001_interview,000022.jpg,"[26,36,98,98]",0.9968,0.0793,0.9178
001_interview,000023.jpg,"[21,38,98,98]",0.991,0.0767,0.915
001_interview,000024.jpg,"[27,36,103,103]",0.9693,0.1285,0.8447
001_interview,000025.jpg,"[35,38,95,95]",0.9936,0.1226,0.8718
001_interview,000026.jpg,"[33,38,98,98]",0.999,0.1046,0.8945
001_interview,000027.jpg,"[26,36,94,94]",0.9963,0.0749,0.9217
001_interview,000028.jpg,"[28,36,97,97]",0.9964,0.0948,0.9019
001_interview,000029.jpg,"[26,39,97,97]",0.9987,0.0842,0.9146
001_interview,000030.jpg,"[29,34,100,100]",0.9676,0.0905,0.88
001_interview,000031.jpg,"[35,33,47,47]",1.0,0.1998,0.8002
001_interview,000032.jpg,"[34,39,45,45]",1.0,0.1591,0.8409
001_interview,000033.jpg,"[42,20,42,42]",1.0,0.1132,0.8868
001_interview,000034.jpg,"[38,45,65,65]",1.0,0.0902,0.9098
001_interview,000035.jpg,"[44,45,63,63]",1.0,0.1358,0.8642
001_interview,000036.jpg,"[34,37,65,65]",1.0,0.0818,0.9182
001_interview,000037.jpg,"[35,43,66,66]",1.0,0.0608,0.9392
001_interview,000038.jpg,"[34,47,66,66]",1.0,0.0754,0.9246
001_interview,000039.jpg,"[35,41,64,64]",0.9988,0.091,0.9079
001_interview,000040.jpg,"[39,40,65,65]",1.0,0.1109,0.8891
001_interview,000041.jpg,"[35,41,61,61]",0.9998,0.0892,0.9106
001_interview,000042.jpg,"[39,41,64,64]",0.9999,0.1091,0.8908
001_interview,000043.jpg,"[42,48,64,64]",1.0,0.1071,0.8929
001_interview,000044.jpg,"[36,45,62,62]",0.9969,0.0964,0.9008
001_interview,000045.jpg,"[35,41,65,65]",1.0,0.0831,0.9169
001_interview,000046.jpg,"[38,42,65,65]",1.0,0.1041,0.8959
001_interview,000047.jpg,"[37,44,66,66]",1.0,0.0869,0.9131
001_interview,000048.jpg,"[36,44,66,66]",0.9999,0.0966,0.9033
001_interview,000049.jpg,"[36,47,65,65]",0.9999,0.0685,0.9314
001_interview,000050.jpg,"[39,39,64,64]",1.0,0.1043,0.8957
001_interview,000051.jpg,"[46,23,71,71]",1.0,0.4589,0.5411
001_interview,000052.jpg,"[33,43,62,62]",1.0,0.0735,0.9265
001_interview,000053.jpg,"[39,43,65,65]",0.9997,0.1077,0.892
001_interview,000054.jpg,"[35,44,64,64]",1.0,0.1033,0.8967
001_interview,000055.jpg,"[37,48,62,62]",0.9999,0.0717,0.9282
001_interview,000056.jpg,"[36,33,67,67]",1.0,0.0782,0.9218
001_interview,000057.jpg,"[34,40,64,64]",1.0,0.0975,0.9025
001_interview,000058.jpg,"[40,41,62,62]",1.0,0.116,0.884
001_interview,000059.jpg,"[37,45,62,62]",1.0,0.0836,0.9164
001_interview,000060.jpg,"[38,48,63,63]",1.0,0.0814,0.9186
001_interview,000061.jpg,"[31,43,67,66]",1.0,0.0863,0.9137
001_interview,000062.jpg,"[36,47,65,65]",1.0,0.0872,0.9128
001_interview,000063.jpg,"[32,39,65,65]",1.0,0.0606,0.9394
001_interview,000064.jpg,"[37,41,65,65]",0.9998,0.0784,0.9214
001_interview,000065.jpg,"[35,48,63,63]",1.0,0.1122,0.8878
001_interview,000066.jpg,"[34,51,64,64]",1.0,0.0663,0.9337
001_interview,000067.jpg,"[37,44,63,63]",0.9995,0.0759,0.9236
001_interview,000068.jpg,"[33,43,64,64]",1.0,0.0666,0.9334
001_interview,000069.jpg,"[34,42,64,64]",1.0,0.0708,0.9292
001_interview,000070.jpg,"[37,53,64,64]",1.0,0.0741,0.9259
001_interview,000071.jpg,"[41,47,66,66]",1.0,0.1447,0.8553
001_interview,000072.jpg,"[44,45,64,64]",1.0,0.1674,0.8326
001_interview,000073.jpg,"[43,46,67,67]",1.0,0.0951,0.9049
001_interview,000074.jpg,"[36,44,64,64]",0.9999,0.0803,0.9196
001_interview,000075.jpg,"[34,42,64,64]",1.0,0.082,0.918
001_interview,000076.jpg,"[42,38,67,67]",0.9999,0.0821,0.9178
001_interview,000077.jpg,"[35,44,64,64]",1.0,0.0934,0.9066
001_interview,000078.jpg,"[32,39,82,82]",0.9999,0.1149,0.885
001_interview,000079.jpg,"[33,40,86,86]",1.0,0.0997,0.9003
001_interview,000080.jpg,"[34,40,85,85]",1.0,0.106,0.894
001_interview,000081.jpg,"[36,40,84,84]",1.0,0.1428,0.8572
001_interview,000082.jpg,"[37,42,81,81]",1.0,0.1356,0.8644
001_interview,000083.jpg,"[35,44,81,81]",1.0,0.1151,0.8849
001_interview,000084.jpg,"[32,39,83,83]",1.0,0.1213,0.8787
001_interview,000085.jpg,"[31,42,80,80]",1.0,0.1042,0.8958
001_interview,000086.jpg,"[29,38,89,89]",0.9994,0.0802,0.9192
001_interview,000087.jpg,"[32,40,87,87]",1.0,0.1233,0.8767
001_interview,000088.jpg,"[29,43,86,86]",1.0,0.1049,0.8951
001_interview,000089.jpg,"[28,44,86,86]",1.0,0.1053,0.8947
001_interview,000090.jpg,"[22,36,88,88]",0.9999,0.0663,0.9336
001_interview,000091.jpg,"[31,38,85,85]",1.0,0.1014,0.8986
001_interview,000092.jpg,"[31,36,87,87]",0.9985,0.0998,0.8988
001_interview,000093.jpg,"[26,39,89,89]",1.0,0.0987,0.9013
001_interview,000094.jpg,"[35,39,86,86]",1.0,0.0955,0.9045
001_interview,000095.jpg,"[31,45,85,85]",1.0,0.1043,0.8957
001_interview,000096.jpg,"[31,41,89,89]",1.0,0.1082,0.8918
001_interview,000097.jpg,"[27,43,90,90]",1.0,0.1373,0.8627
001_interview,000098.jpg,"[29,43,86,86]",0.9999,0.1194,0.8805
001_interview,000099.jpg,"[30,42,89,89]",1.0,0.0784,0.9216
001_interview,000100.jpg,"[31,40,84,84]",1.0,0.1079,0.8921
001_interview,000101.jpg,"[29,35,88,88]",0.9999,0.0744,0.9255
001_interview,000102.jpg,"[36,41,84,84]",1.0,0.1083,0.8917
001_interview,000103.jpg,"[24,39,93,93]",0.9999,0.0958,0.9041
001_interview,000104.jpg,"[30,43,94,94]",1.0,0.1017,0.8983
001_interview,000105.jpg,"[35,36,83,83]",0.9968,0.101,0.8961
001_interview,000106.jpg,"[31,36,89,89]",1.0,0.0709,0.9291
001_interview,000107.jpg,"[31,37,88,88]",0.9999,0.0689,0.931
001_interview,000108.jpg,"[30,37,90,90]",0.9998,0.0712,0.9286
001_interview,000109.jpg,"[30,37,87,87]",1.0,0.109,0.891
001_interview,000110.jpg,"[30,45,92,92]",1.0,0.1227,0.8773
001_interview,000111.jpg,"[28,34,86,86]",1.0,0.1012,0.8988
001_interview,000112.jpg,"[30,41,87,87]",1.0,0.0799,0.9201
001_interview,000113.jpg,"[26,33,93,93]",1.0,0.0648,0.9352
001_interview,000114.jpg,"[22,41,89,89]",1.0,0.0829,0.9171
001_interview,000115.jpg,"[28,46,90,90]",1.0,0.0831,0.9169
001_interview,000116.jpg,"[31,42,84,84]",0.9712,0.1156,0.8589
001_interview,000117.jpg,"[26,35,87,87]",0.9999,0.0736,0.9263
001_interview,000118.jpg,"[24,40,88,88]",0.9999,0.0767,0.9232
001_interview,000119.jpg,"[13,55,34,34]",1.0,0.4422,0.5578
001_interview,000120.jpg,"[13,55,33,33]",1.0,0.4934,0.5066
001_interview,000122.jpg,"[29,49,29,29]",1.0,0.3561,0.6439
001_interview,000123.jpg,"[21,43,30,30]",1.0,0.4336,0.5664
001_interview,000124.jpg,"[34,57,32,32]",1.0,0.3662,0.6338
001_interview,000125.jpg,"[30,61,33,33]",1.0,0.452,0.548
001_interview,000127.jpg,"[24,43,32,32]",1.0,0.387,0.613
001_interview,000128.jpg,"[22,44,36,36]",1.0,0.4661,0.5339
001_interview,000130.jpg,"[25,30,90,90]",0.9999,0.0707,0.9292
001_interview,000131.jpg,"[30,35,84,84]",1.0,0.1073,0.8927
001_interview,000132.jpg,"[28,44,82,82]",0.9908,0.0749,0.9166
001_interview,000133.jpg,"[27,38,88,88]",1.0,0.0606,0.9394
001_interview,000134.jpg,"[29,37,88,88]",1.0,0.0926,0.9074
001_interview,000135.jpg,"[30,33,91,91]",0.9985,0.1416,0.8571
001_interview,000136.jpg,"[28,36,89,89]",0.9999,0.0961,0.9038
001_interview,000137.jpg,"[26,53,84,84]",0.9998,0.0932,0.9066
001_interview,000138.jpg,"[29,39,93,93]",1.0,0.1161,0.8839
001_interview,000139.jpg,"[31,41,83,83]",0.9996,0.1138,0.8858
001_interview,000140.jpg,"[33,38,87,87]",0.9692,0.1004,0.8719
001_interview,000141.jpg,"[38,41,85,85]",1.0,0.1106,0.8894
001_interview,000142.jpg,"[28,41,90,90]",0.9998,0.0585,0.9413
001_interview,000143.jpg,"[28,38,87,87]",1.0,0.0843,0.9157
001_interview,000144.jpg,"[24,44,90,90]",0.9992,0.0861,0.9132
001_interview,000145.jpg,"[26,54,87,87]",1.0,0.0893,0.9107
001_interview,000146.jpg,"[32,40,86,86]",1.0,0.1012,0.8988
001_interview,000147.jpg,"[30,39,88,88]",0.9987,0.0701,0.9287
001_interview,000148.jpg,"[27,42,88,88]",1.0,0.1181,0.8819
001_interview,000149.jpg,"[32,45,86,86]",0.9937,0.1329,0.8616
001_interview,000150.jpg,"[25,35,87,87]",1.0,0.0995,0.9005
001_interview,000151.jpg,"[36,44,79,79]",0.9999,0.1031,0.8968
001_interview,000152.jpg,"[30,39,90,90]",0.959,0.0641,0.8975
001_interview,000153.jpg,"[32,39,89,89]",0.9904,0.0701,0.921
001_interview,000155.jpg,"[31,25,25,25]",1.0,0.3168,0.6832
001_interview,000156.jpg,"[35,43,81,81]",1.0,0.088,0.912
001_interview,000157.jpg,"[33,39,87,87]",0.9999,0.0653,0.9346
001_interview,000158.jpg,"[26,38,85,85]",1.0,0.0939,0.9061
001_interview,000159.jpg,"[30,40,87,87]",1.0,0.0675,0.9325
001_interview,000160.jpg,"[32,41,83,83]",0.9985,0.1124,0.8863
001_interview,000161.jpg,"[29,44,87,86]",0.9999,0.0854,0.9145
001_interview,000162.jpg,"[30,38,92,92]",1.0,0.1285,0.8715
001_interview,000163.jpg,"[24,38,86,86]",1.0,0.0792,0.9208
001_interview,000164.jpg,"[28,43,85,85]",0.9974,0.1065,0.8912
001_interview,000165.jpg,"[32,38,88,88]",0.9996,0.0677,0.9319
001_interview,000166.jpg,"[29,38,86,86]",0.9998,0.0917,0.9081
001_interview,000167.jpg,"[31,39,86,86]",1.0,0.0914,0.9086
001_interview,000168.jpg,"[32,39,87,87]",1.0,0.0909,0.9091
001_interview,000169.jpg,"[31,38,88,88]",0.9999,0.0729,0.927
001_interview,000170.jpg,"[26,39,89,89]",0.9999,0.0732,0.9267
001_interview,000171.jpg,"[33,37,85,85]",1.0,0.0733,0.9267
001_interview,000172.jpg,"[38,40,81,81]",1.0,0.0967,0.9033
001_interview,000173.jpg,"[29,41,86,86]",0.9988,0.1046,0.8943
001_interview,000174.jpg,"[30,37,87,87]",0.9997,0.0712,0.9285
001_interview,000175.jpg,"[29,44,82,82]",0.9936,0.0909,0.9033
001_interview,000176.jpg,"[30,48,90,90]",1.0,0.1753,0.8247
001_interview,000177.jpg,"[27,41,89,89]",1.0,0.0906,0.9094
001_interview,000178.jpg,"[28,45,89,89]",1.0,0.083,0.917
001_interview,000179.jpg,"[27,40,90,90]",0.9999,0.1119,0.888
001_interview,000180.jpg,"[29,40,89,89]",1.0,0.1005,0.8995
001_interview,000181.jpg,"[34,42,87,87]",0.9959,0.0939,0.9024
001_interview,000182.jpg,"[33,41,85,85]",0.9996,0.0944,0.9052
001_interview,000183.jpg,"[29,37,85,85]",1.0,0.0697,0.9303
001_interview,000184.jpg,"[29,39,86,86]",0.998,0.1006,0.8976
001_interview,000185.jpg,"[30,40,92,92]",1.0,0.1211,0.8789
001_interview,000186.jpg,"[31,44,90,90]",1.0,0.0961,0.9039
001_interview,000187.jpg,"[29,44,85,85]",0.9999,0.1232,0.8767
001_interview,000188.jpg,"[31,41,93,93]",1.0,0.082,0.918
001_interview,000189.jpg,"[25,34,89,89]",0.9995,0.0707,0.9288
001_interview,000190.jpg,"[13,42,103,103]",1.0,0.4376,0.5624
001_interview,000191.jpg,"[19,43,107,107]",1.0,0.3993,0.6007
001_interview,000192.jpg,"[13,43,100,100]",1.0,0.3912,0.6088
001_interview,000193.jpg,"[5,39,110,110]",1.0,0.3019,0.6981
001_interview,000194.jpg,"[58,50,52,52]",1.0,0.0554,0.9446
001_interview,000195.jpg,"[45,62,50,50]",1.0,0.0664,0.9336
001_interview,000196.jpg,"[40,65,54,54]",1.0,0.0878,0.9122
001_interview,000197.jpg,"[47,38,57,57]",1.0,0.0566,0.9434
001_interview,000198.jpg,"[34,46,54,54]",1.0,0.0935,0.9065
001_interview,000199.jpg,"[34,49,53,53]",1.0,0.07,0.93
001_interview,000200.jpg,"[42,54,55,55]",1.0,0.0548,0.9452
001_interview,000201.jpg,"[46,50,56,56]",1.0,0.0833,0.9167
001_interview,000202.jpg,"[44,57,57,57]",1.0,0.0364,0.9636
001_interview,000203.jpg,"[37,57,57,57]",1.0,0.0725,0.9275
001_interview,000204.jpg,"[36,47,59,59]",1.0,0.1173,0.8827
001_interview,000205.jpg,"[39,55,60,60]",1.0,0.0643,0.9357
001_interview,000206.jpg,"[36,52,57,57]",1.0,0.0826,0.9174
001_interview,000207.jpg,"[38,49,58,58]",1.0,0.0402,0.9598
001_interview,000208.jpg,"[49,46,57,57]",1.0,0.0988,0.9012
001_interview,000209.jpg,"[37,58,57,57]",1.0,0.0487,0.9513
001_interview,000210.jpg,"[42,57,55,55]",1.0,0.0612,0.9388
001_interview,000211.jpg,"[36,51,119,119]",0.9996,0.1,0.8996
001_interview,000212.jpg,"[28,33,123,123]",0.9865,0.0769,0.9106
001_interview,000213.jpg,"[31,38,123,123]",0.9998,0.1064,0.8934
001_interview,000214.jpg,"[32,41,130,130]",0.9891,0.0832,0.9068
001_interview,000215.jpg,"[23,39,127,127]",0.9867,0.0589,0.9286
001_interview,000216.jpg,"[30,36,129,129]",0.9999,0.1018,0.8981
001_interview,000217.jpg,"[30,37,121,121]",0.9835,0.0685,0.9161
001_interview,000218.jpg,"[33,40,122,122]",0.9971,0.0721,0.9252
001_interview,000219.jpg,"[25,38,129,129]",0.9047,0.1254,0.7913
001_interview,000220.jpg,"[27,32,126,126]",0.434,0.1037,0.389
001_interview,000221.jpg,"[25,30,130,130]",0.8758,0.0745,0.8106
001_interview,000222.jpg,"[30,42,118,118]",0.9924,0.1233,0.87
001_interview,000223.jpg,"[29,38,126,126]",0.9638,0.1098,0.858
001_interview,000224.jpg,"[36,42,116,116]",0.9991,0.0833,0.9159
001_interview,000225.jpg,"[37,31,125,125]",0.9996,0.0675,0.9321
001_interview,000226.jpg,"[29,36,134,134]",0.9993,0.0918,0.9076
001_interview,000227.jpg,"[30,29,127,127]",0.8739,0.0598,0.8216
001_interview,000228.jpg,"[34,38,127,127]",0.8734,0.0713,0.8111
001_interview,000229.jpg,"[29,35,128,128]",0.9737,0.073,0.9026
001_interview,000230.jpg,"[29,37,128,128]",0.9614,0.0738,0.8904
001_interview,000231.jpg,"[36,35,128,128]",0.9811,0.0633,0.919
001_interview,000232.jpg,"[33,35,123,123]",0.9912,0.098,0.8941
001_interview,000233.jpg,"[31,42,115,115]",0.9849,0.0878,0.8984
001_interview,000234.jpg,"[27,36,121,121]",0.9938,0.087,0.9073
001_interview,000235.jpg,"[29,33,104,104]",0.9988,0.1483,0.8507
001_interview,000236.jpg,"[33,32,109,109]",0.9997,0.0644,0.9353
001_interview,000237.jpg,"[28,38,105,105]",0.9695,0.1109,0.862
001_interview,000238.jpg,"[30,38,107,107]",0.9993,0.0891,0.9103
001_interview,000239.jpg,"[27,34,112,112]",0.9858,0.1042,0.8831
001_interview,000240.jpg,"[29,37,111,111]",0.9998,0.0924,0.9074
001_interview,000241.jpg,"[30,39,108,108]",0.999,0.1342,0.8649
001_interview,000242.jpg,"[29,38,106,106]",1.0,0.0753,0.9247
001_interview,000243.jpg,"[29,33,108,108]",1.0,0.0797,0.9203
001_interview,000244.jpg,"[31,37,106,106]",0.9839,0.1068,0.8788
001_interview,000245.jpg,"[30,34,113,113]",1.0,0.0927,0.9073
001_interview,000246.jpg,"[28,35,108,108]",0.9961,0.0922,0.9043
