audio,speaker,start,end,duration
1j20qq1JyX4_c_01.wav,SPEAKER_02,0.031,1.837,1.806
1j20qq1JyX4_c_01.wav,SPEAKER_04,0.757,1.769,1.013
1j20qq1JyX4_c_01.wav,SPEAKER_02,2.225,4.705,2.481
1j20qq1JyX4_c_01.wav,SPEAKER_04,3.153,7.237,4.084
1j20qq1JyX4_c_01.wav,SPEAKER_02,5.583,6.089,0.506
1j20qq1JyX4_c_01.wav,SPEAKER_00,6.089,7.034,0.945
1j20qq1JyX4_c_01.wav,SPEAKER_02,7.034,7.118,0.084
1j20qq1JyX4_c_01.wav,SPEAKER_00,7.118,7.22,0.101
1j20qq1JyX4_c_01.wav,SPEAKER_00,7.237,7.27,0.034
1j20qq1JyX4_c_01.wav,SPEAKER_04,13.818,14.29,0.473
1j20qq1JyX4_c_01.wav,SPEAKER_04,17.733,20.062,2.329
1j20qq1JyX4_c_01.wav,SPEAKER_04,20.18,22.373,2.194
1j20qq1JyX4_c_01.wav,SPEAKER_04,23.943,26.626,2.683
1j20qq1JyX4_c_01.wav,SPEAKER_04,27.892,30.322,2.43
1j20qq1JyX4_c_01.wav,SPEAKER_04,31.165,33.41,2.244
1j20qq1JyX4_c_01.wav,SPEAKER_04,34.203,36.616,2.413
1j20qq1JyX4_c_01.wav,SPEAKER_04,37.358,40.767,3.409
1j20qq1JyX4_c_01.wav,SPEAKER_04,41.965,42.404,0.439
1j20qq1JyX4_c_01.wav,SPEAKER_03,42.404,42.421,0.017
1j20qq1JyX4_c_01.wav,SPEAKER_04,43.602,43.619,0.017
1j20qq1JyX4_c_01.wav,SPEAKER_03,43.619,44.446,0.827
1j20qq1JyX4_c_01.wav,SPEAKER_03,45.256,47.112,1.856
1j20qq1JyX4_c_01.wav,SPEAKER_03,47.872,48.833,0.962
1j20qq1JyX4_c_01.wav,SPEAKER_03,49.559,52.445,2.886
1j20qq1JyX4_c_01.wav,SPEAKER_03,52.934,55.651,2.717
1j20qq1JyX4_c_01.wav,SPEAKER_03,56.495,58.334,1.839
1j20qq1JyX4_c_01.wav,SPEAKER_03,59.026,60.325,1.299
1j20qq1JyX4_c_01.wav,SPEAKER_03,61.338,62.08,0.742
1j20qq1JyX4_c_01.wav,SPEAKER_03,63.228,65.033,1.806
1j20qq1JyX4_c_01.wav,SPEAKER_03,66.181,67.717,1.536
1j20qq1JyX4_c_01.wav,SPEAKER_03,68.493,69.37,0.877
1j20qq1JyX4_c_01.wav,SPEAKER_03,69.86,70.349,0.489
1j20qq1JyX4_c_01.wav,SPEAKER_03,74.872,75.766,0.894
1j20qq1JyX4_c_01.wav,SPEAKER_03,75.817,77.993,2.177
1j20qq1JyX4_c_01.wav,SPEAKER_03,78.719,80.17,1.451
1j20qq1JyX4_c_01.wav,SPEAKER_03,80.187,80.204,0.017
1j20qq1JyX4_c_01.wav,SPEAKER_03,80.221,80.862,0.641
1j20qq1JyX4_c_01.wav,SPEAKER_03,81.807,84.71,2.903
1j20qq1JyX4_c_01.wav,SPEAKER_03,86.228,88.793,2.565
1j20qq1JyX4_c_01.wav,SPEAKER_03,89.603,90.11,0.506
1j20qq1JyX4_c_01.wav,SPEAKER_03,90.97,92.438,1.468
1j20qq1JyX4_c_01.wav,SPEAKER_03,93.502,93.907,0.405
1j20qq1JyX4_c_01.wav,SPEAKER_03,94.885,96.134,1.249
1j20qq1JyX4_c_01.wav,SPEAKER_03,96.893,98.783,1.89
1j20qq1JyX4_c_01.wav,SPEAKER_03,99.357,99.762,0.405
1j20qq1JyX4_c_01.wav,SPEAKER_03,100.252,100.724,0.472
1j20qq1JyX4_c_01.wav,SPEAKER_03,101.669,102.749,1.08
1j20qq1JyX4_c_01.wav,SPEAKER_03,105.719,108.655,2.936
1j20qq1JyX4_c_01.wav,SPEAKER_03,109.347,110.309,0.962
1j20qq1JyX4_c_01.wav,SPEAKER_03,110.95,112.874,1.924
1j20qq1JyX4_c_01.wav,SPEAKER_03,114.967,115.54,0.574
1j20qq1JyX4_c_01.wav,SPEAKER_03,117.532,120.063,2.531
1j20qq1JyX4_c_01.wav,SPEAKER_03,121.666,123.387,1.721
1j20qq1JyX4_c_01.wav,SPEAKER_03,124.349,125.665,1.316
1j20qq1JyX4_c_01.wav,SPEAKER_03,126.037,128.146,2.109
1j20qq1JyX4_c_01.wav,SPEAKER_00,128.146,128.247,0.101
1j20qq1JyX4_c_01.wav,SPEAKER_03,128.247,128.467,0.219
1j20qq1JyX4_c_01.wav,SPEAKER_00,128.467,130.508,2.042
1j20qq1JyX4_c_01.wav,SPEAKER_00,132.989,136.145,3.156
1j20qq1JyX4_c_01.wav,SPEAKER_00,137.68,139.148,1.468
1j20qq1JyX4_c_01.wav,SPEAKER_00,139.655,141.038,1.384
1j20qq1JyX4_c_01.wav,SPEAKER_01,145.713,146.101,0.388
1j20qq1JyX4_c_01.wav,SPEAKER_01,146.759,147.434,0.675
1j20qq1JyX4_c_01.wav,SPEAKER_04,147.923,149.392,1.468
1j20qq1JyX4_c_01.wav,SPEAKER_01,149.898,150.522,0.624
1j20qq1JyX4_c_01.wav,SPEAKER_04,150.522,150.573,0.051
1j20qq1JyX4_c_01.wav,SPEAKER_01,150.573,150.758,0.186
1j20qq1JyX4_c_01.wav,SPEAKER_04,151.282,151.99,0.709
1j20qq1JyX4_c_01.wav,SPEAKER_04,152.699,157.998,5.299
1j20qq1JyX4_c_01.wav,SPEAKER_01,158.302,159.432,1.131
1j20qq1JyX4_c_01.wav,SPEAKER_01,160.073,161.862,1.789
1j20qq1JyX4_c_01.wav,SPEAKER_01,162.301,163.752,1.451
1j20qq1JyX4_c_01.wav,SPEAKER_04,164.14,165.997,1.856
1j20qq1JyX4_c_01.wav,SPEAKER_04,166.418,167.836,1.417
1j20qq1JyX4_c_01.wav,SPEAKER_01,168.022,169.658,1.637
1j20qq1JyX4_c_01.wav,SPEAKER_04,169.878,170.806,0.928
